attempt_id,run_id,bundle_id,cell_id,period_role,from_date,to_date,status,result_judgment,telemetry_observed,telemetry_row_count,tester_report_observed,runtime_probe_complete,terminal_mode,terminal_exit_code,terminal_timed_out,terminal_run_summary_path,score_telemetry_summary_path,score_diagnostic_summary_path,repo_telemetry_path,tester_report_path,claim_boundary,next_action
attempt_wave03_vst_cell_013_l4_research_oos_v0,onnxlab_wave03_vst_cell_013_session_open_reversal_h6_v0,bundle_wave03_vst_cell_013_l4_onnx_export_v0,wave03_vst_cell_013,research_oos,2025.04.03,2025.11.21,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,45281,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_014_l4_validation_v0,onnxlab_wave03_vst_cell_014_session_open_continuation_h8_v0,bundle_wave03_vst_cell_014_l4_onnx_export_v0,wave03_vst_cell_014,validation,2024.06.05,2025.03.10,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,53554,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_014_l4_research_oos_v0,onnxlab_wave03_vst_cell_014_session_open_continuation_h8_v0,bundle_wave03_vst_cell_014_l4_onnx_export_v0,wave03_vst_cell_014,research_oos,2025.04.03,2025.11.21,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,45281,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_015_l4_validation_v0,onnxlab_wave03_vst_cell_015_low_vol_breakout_h6_v0,bundle_wave03_vst_cell_015_l4_onnx_export_v0,wave03_vst_cell_015,validation,2024.06.05,2025.03.10,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,53554,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_015_l4_research_oos_v0,onnxlab_wave03_vst_cell_015_low_vol_breakout_h6_v0,bundle_wave03_vst_cell_015_l4_onnx_export_v0,wave03_vst_cell_015,research_oos,2025.04.03,2025.11.21,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,45281,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_016_l4_validation_v0,onnxlab_wave03_vst_cell_016_low_vol_false_break_h8_v0,bundle_wave03_vst_cell_016_l4_onnx_export_v0,wave03_vst_cell_016,validation,2024.06.05,2025.03.10,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,53554,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_016_l4_research_oos_v0,onnxlab_wave03_vst_cell_016_low_vol_false_break_h8_v0,bundle_wave03_vst_cell_016_l4_onnx_export_v0,wave03_vst_cell_016,research_oos,2025.04.03,2025.11.21,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,45281,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_017_l4_validation_v0,onnxlab_wave03_vst_cell_017_high_vol_mean_revert_h12_v0,bundle_wave03_vst_cell_017_l4_onnx_export_v0,wave03_vst_cell_017,validation,2024.06.05,2025.03.10,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,53554,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_validation_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_validation_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_017_l4_research_oos_v0,onnxlab_wave03_vst_cell_017_high_vol_mean_revert_h12_v0,bundle_wave03_vst_cell_017_l4_onnx_export_v0,wave03_vst_cell_017,research_oos,2025.04.03,2025.11.21,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,45281,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_research_oos_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_017_l4_research_oos_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_018_l4_validation_v0,onnxlab_wave03_vst_cell_018_high_vol_momentum_h12_v0,bundle_wave03_vst_cell_018_l4_onnx_export_v0,wave03_vst_cell_018,validation,2024.06.05,2025.03.10,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,53554,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_validation_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_validation_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
attempt_wave03_vst_cell_018_l4_research_oos_v0,onnxlab_wave03_vst_cell_018_high_vol_momentum_h12_v0,bundle_wave03_vst_cell_018_l4_onnx_export_v0,wave03_vst_cell_018,research_oos,2025.04.03,2025.11.21,telemetry_adapter_observed_runtime_contract_incomplete,runtime_probe,True,45281,True,False,main_mode_config_fallback,0,False,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_research_oos_v0/score_diagnostic_summary.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave03_vst_cell_018_l4_research_oos_v0/reports/tester_report.htm,wave03_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,inspect terminal/EA/report evidence and rerun or repair this attempt before L4 completion claim
